File exported using Electropherogram Manipulator,,
,,
,,
Data File:,001 150 nM AlkB.asc.csv,
,,
,,
,,
Sampling Rate:,4,
Total Data Points:,4660,
,,
,,µA
,,
Signal (AU),,
-15931.86,,
-15931.86,,
-15959.3,,
-15992.62,,
-16028.88,,
-16059.26,,
-16059.26,,
-16000.46,,
-16000.46,,
-15885.8,,
-15767.22,,
-15767.22,,
-15812.3,,
-15994.58,,
-16167.06,,
-16219.98,,
-16219.98,,
-16157.26,,
-16144.52,,
-16144.52,,
-16200.38,,
-16232.72,,
-16232.72,,
-16164.12,,
-16061.22,,
-15947.54,,
-15846.6,,
-15785.84,,
-15785.84,,
-15844.64,,
-15922.06,,
-15974,,
-15988.7,,
-15995.56,,
-16028.88,,
-16087.68,,
-16103.36,,
-16103.36,,
-16012.22,,
-15894.62,,
-15801.52,,
-15765.26,,
-15765.26,,
-15790.74,,
-15790.74,,
-15769.18,,
-15768.2,,
-15768.2,,
-15822.1,,
-15890.7,,
-15947.54,,
-15950.48,,
-15950.48,,
-15897.56,,
-15847.58,,
-15847.58,,
-15854.44,,
-15878.94,,
-15889.72,,
-15893.64,,
-15918.14,,
-15973.02,,
-16037.7,,
-16046.52,,
-16046.52,,
-15988.7,,
-15936.76,,
-15936.76,,
-15971.06,,
-16050.44,,
-16134.72,,
-16198.42,,
-16233.7,,
-16233.7,,
-16198.42,,
263.62,,
330.26,,
382.2,,
412.58,,
431.2,,
444.92,,
444.92,,
443.94,,
409.64,,
360.64,,
339.08,,
339.08,,
432.18,,
586.04,,
746.76,,
849.66,,
849.66,,
756.56,,
587.02,,
411.6,,
297.92,,
276.36,,
276.36,,
276.36,,
262.64,,
218.54,,
164.64,,
113.68,,
73.5,,
48.02,,
35.28,,
29.4,,
25.48,,
24.5,,
24.5,,
49.98,,
98.98,,
148.96,,
148.96,,
145.04,,
111.72,,
98.98,,
98.98,,
98.98,,
91.14,,
66.64,,
66.64,,
74.48,,
141.12,,
225.4,,
284.2,,
291.06,,
291.06,,
281.26,,
267.54,,
238.14,,
202.86,,
196.98,,
196.98,,
204.82,,
204.82,,
186.2,,
186.2,,
188.16,,
222.46,,
245,,
245,,
205.8,,
154.84,,
117.6,,
105.84,,
104.86,,
96.04,,
54.88,,
1.96,,
1.96,,
25.48,,
120.54,,
218.54,,
249.9,,
249.9,,
179.34,,
103.88,,
79.38,,
79.38,,
114.66,,
134.26,,
134.26,,
93.1,,
36.26,,
-9.8,,
-23.52,,
-23.52,,
8.82,,
66.64,,
130.34,,
170.52,,
170.52,,
154.84,,
136.22,,
121.52,,
97.02,,
59.78,,
43.12,,
43.12,,
84.28,,
108.78,,
108.78,,
76.44,,
54.88,,
54.88,,
76.44,,
107.8,,
135.24,,
135.24,,
89.18,,
21.56,,
-23.52,,
-29.4,,
-33.32,,
-49,,
-96.04,,
-147,,
-184.24,,
-207.76,,
-226.38,,
-239.12,,
-245.98,,
-245.98,,
-239.12,,
-216.58,,
-183.26,,
-147,,
-110.74,,
-86.24,,
-86.24,,
-124.46,,
-183.26,,
-224.42,,
-224.42,,
-155.82,,
-54.88,,
-7.84,,
-7.84,,
-102.9,,
-207.76,,
-239.12,,
-239.12,,
