File exported using Electropherogram Manipulator,,
,,
,,
Data File:,003 150 nM AlkB.asc.csv,
,,
,,
,,
Sampling Rate:,4,
Total Data Points:,4660,
,,
,,µA
,,
Signal (AU),,
-2468,,
-2355,,
-2262,,
-2209,,
-2209,,
-2213,,
-2255,,
-2315,,
-2371,,
-2394,,
-2394,,
-2360,,
-2324,,
-2302,,
-2300,,
-2300,,
-2300,,
-2283,,
-2248,,
-2211,,
-2184,,
-2176,,
-2176,,
-2199,,
-2246,,
-2315,,
-2391,,
-2451,,
-2483,,
-2483,,
-2456,,
-2421,,
-2396,,
-2396,,
-2402,,
-2436,,
-2482,,
-2520,,
-2520,,
-2512,,
-2480,,
-2443,,
-2400,,
-2346,,
-2280,,
-2217,,
-2195,,
-2195,,
-2239,,
-2292,,
-2345,,
-2387,,
-2390,,
-2390,,
-2327,,
-2247,,
-2247,,
-2278,,
-2411,,
-2528,,
-2528,,
-2516,,
-2435,,
-2358,,
-2292,,
-2229,,
-2180,,
-2175,,
-2175,,
-2181,,
-2181,,
-2160,,
-2160,,
-2162,,
-2192,,
-2228,,
-2262,,
-2292,,
-2315,,
-2333,,
-2357,,
-2399,,
-2449,,
-2483,,
-2483,,
-2446,,
-2385,,
-2329,,
-2323,,
-2323,,
-2384,,
-2450,,
-2450,,
-2431,,
-2348,,
-2272,,
-2249,,
-2237,,
294,,
294,,
244,,
206,,
179,,
179,,
185,,
226,,
275,,
316,,
350,,
369,,
369,,
318,,
236,,
156,,
102,,
96,,
96,,
151,,
235,,
322,,
381,,
381,,
358,,
305,,
268,,
268,,
290,,
336,,
385,,
404,,
404,,
354,,
289,,
241,,
222,,
213,,
187,,
142,,
116,,
116,,
172,,
257,,
339,,
394,,
414,,
414,,
381,,
314,,
221,,
132,,
80,,
80,,
93,,
118,,
136,,
147,,
165,,
207,,
269,,
313,,
313,,
271,,
224,,
189,,
155,,
120,,
94,,
94,,
111,,
149,,
199,,
249,,
285,,
306,,
333,,
386,,
450,,
489,,
489,,
467,,
457,,
457,,
463,,
463,,
439,,
397,,
350,,
311,,
273,,
228,,
173,,
127,,
127,,
156,,
236,,
324,,
383,,
383,,
359,,
321,,
319,,
319,,
349,,
374,,
374,,
335,,
255,,
163,,
112,,
112,,
169,,
227,,
256,,
266,,
284,,
322,,
370,,
410,,
438,,
448,,
448,,
408,,
338,,
266,,
232,,
232,,
281,,
353,,
426,,
482,,
519,,
538,,
538,,
510,,
453,,
388,,
335,,
286,,
229,,
187,,
187,,
247,,
335,,
402,,
426,,
426,,
416,,
407,,
390,,
350,,
295,,
252,,
252,,
258,,
288,,
321,,
348,,
348,,
335,,
299,,
296,,
296,,
336,,
370,,
370,,
344,,
320,,
320,,
365,,
432,,
473,,
473,,
412,,
336,,
303,,
303,,
348,,
389,,
389,,
380,,
355,,
342,,
336,,
310,,
256,,
199,,
199,,
225,,
292,,
345,,
345,,
334,,
273,,
210,,
210,,
247,,
358,,
467,,
480,,
480,,
383,,
294,,
294,,
295,,
335,,
375,,
443,,
547,,
628,,
628,,
548,,
444,,
359,,
304,,
275,,
275,,
295,,
324,,
345,,
345,,
349,,
349,,
373,,
406,,
435,,
457,,
457,,
454,,
